QuestID,FactoryBWID,FactoryName,Country,AssessmentDate,year,FNC,CNRR,repriskID
12129,2,Hi-Tech Textile L.L.C.,Jordan,19/10/2015,2015,,,
17215,2,Hi-Tech Textile L.L.C.,Jordan,16/10/2016,2016,,,
22596,2,Hi-Tech Textile L.L.C.,Jordan,27/09/2017,2017,,,
30133,2,Hi-Tech Textile L.L.C.,Jordan,16/10/2018,2018,,,
36539,2,Hi-Tech Textile L.L.C.,Jordan,14/10/2019,2019,,,
41654,2,Hi-Tech Textile L.L.C.,Jordan,22/02/2021,2021,,,
9604,4,Jerash Garments and Fashions Mfg. Co. Ltd. (Unit 1 & 3),Jordan,01/06/2015,2015,,,
15001,4,Jerash Garments and Fashions Mfg. Co. Ltd. (Unit 1 & 3),Jordan,30/05/2016,2016,,,
20997,4,Jerash Garments and Fashions Mfg. Co. Ltd. (Unit 1 & 3),Jordan,12/06/2017,2017,,,
27880,4,Jerash Garments and Fashions Mfg. Co. Ltd. (Unit 1 & 3),Jordan,24/06/2018,2018,,,
34621,4,Jerash Garments and Fashions Mfg. Co. Ltd. (Unit 1 & 3),Jordan,30/06/2019,2019,,,
39647,4,Jerash Garments and Fashions Mfg. Co. Ltd. (Unit 1 & 3),Jordan,19/07/2020,2020,,,
43530,4,Jerash Garments and Fashions Mfg. Co. Ltd. (Unit 1 & 3),Jordan,16/08/2021,2021,,,
11315,5,Classic Fashion Apparel Industry Ltd. Co. (Unit 1)(Obsolete),Jordan,13/09/2015,2015,,,
16871,5,Classic Fashion Apparel Industry Ltd. Co. (Unit 1)(Obsolete),Jordan,24/09/2016,2016,,,
22611,5,Classic Fashion Apparel Industry Ltd. Co. (Unit 1),Jordan,10/09/2017,2017,,,
12189,6,Eam Maliban Textiles Jordan (PVT) Ltd. (Inactive),Jordan,11/11/2015,2015,,,
17635,6,Eam Maliban Textiles Jordan (PVT) Ltd. (Inactive),Jordan,20/11/2016,2016,,,
23533,6,Eam Maliban Textiles Jordan (PVT) Ltd.,Jordan,12/11/2017,2017,,,
30785,6,Eam Maliban Textiles Jordan (PVT) Ltd.,Jordan,21/11/2018,2018,,,
37243,6,Eam Maliban Textiles Jordan (PVT) Ltd. (Inactive),Jordan,17/11/2019,2019,,,
40925,6,Eam Maliban Textiles Jordan (PVT) Ltd. (Inactive),Jordan,20/12/2020,2020,,,
12742,7,Indo Jordan Clothing Company (Unit 1),Jordan,29/09/2015,2015,,,
17245,7,Indo Jordan Clothing Company (Unit 1),Jordan,16/10/2016,2016,,,
23068,7,Indo Jordan Clothing Company (Unit 1),Jordan,09/10/2017,2017,,,
30170,7,Indo Jordan Clothing Company (Unit 1),Jordan,10/10/2018,2018,,,
36597,7,Indo Jordan Clothing Company (Unit 1),Jordan,09/10/2019,2019,,,
40058,7,Indo Jordan Clothing Company (Unit 1),Jordan,15/09/2020,2020,,,
10183,8,Fine Apparel Ltd..,Jordan,29/07/2015,2015,,,
16002,8,Fine Apparel Ltd..,Jordan,15/08/2016,2016,,,
21357,8,Fine Apparel Ltd..,Jordan,18/07/2017,2017,,,
28278,8,Fine Apparel Ltd..,Jordan,15/07/2018,2018,,,
35827,8,Fine Apparel Ltd..,Jordan,21/08/2019,2019,,,
40097,8,Fine Apparel Ltd..,Jordan,16/09/2020,2020,,,
8714,14,Vega Textile Ltd.,Jordan,20/04/2015,2015,,,
14705,14,Vega Textile Ltd.,Jordan,09/05/2016,2016,,,
19780,14,Vega Textile Ltd.,Jordan,24/04/2017,2017,,,
26771,14,Vega Textile Ltd.,Jordan,15/04/2018,2018,,,
33480,14,Vega Textile Ltd.,Jordan,22/04/2019,2019,,,
39541,14,Vega Textile Ltd.,Jordan,28/06/2020,2020,,,
42773,14,Vega Textile Ltd.,Jordan,15/06/2021,2021,,,
8200,15,Protrade Garment JSC.,Vietnam,29/01/2015,2015,,,
17779,15,Protrade Garment JSC.,Vietnam,30/11/2016,2016,,,
26358,15,Protrade Garment JSC.,Vietnam,03/04/2018,2018,,,
33186,15,Protrade Garment JSC.,Vietnam,02/04/2019,2019,,,
39357,15,Protrade Garment JSC.,Vietnam,12/05/2020,2020,,,
9733,16,United Sweethearts Garments (Vietnam) Co. Ltd.,Vietnam,30/06/2015,2015,,,
15556,16,United Sweethearts Garments (Vietnam) Co. Ltd.,Vietnam,12/07/2016,2016,,,
22768,16,United Sweethearts Garments (Vietnam) Co. Ltd.,Vietnam,10/10/2017,2017,,,
30141,16,United Sweethearts Garments (Vietnam) Co. Ltd.,Vietnam,04/10/2018,2018,,,
37022,16,United Sweethearts Garments (Vietnam) Co. Ltd.,Vietnam,30/10/2019,2019,,,
40556,16,United Sweethearts Garments (Vietnam) Co. Ltd.,Vietnam,28/10/2020,2020,,,
11637,18,"FOX RIVER CARIBE, INC.",Haiti,13/10/2015,2015,,,
14410,18,"FOX RIVER CARIBE, INC.",Haiti,10/05/2016,2016,,,
9622,24,Quality Sewing Manufacturing S.A.,Haiti,23/06/2015,2015,,,
14606,24,Quality Sewing Manufacturing S.A.,Haiti,20/04/2016,2016,,,
21537,24,Quality Sewing Manufacturing S.A.,Haiti,27/06/2017,2017,,,
28943,24,Quality Sewing Manufacturing S.A.,Haiti,24/07/2018,2018,,,
