conveyor,month,all_salary,workers,avg_pay,attrition,cus1,cus1ps,cus2,cus2ps,cus3,cus3ps,cus4,cus4ps,cus5,cus5ps,allps,cus1price,cus2price,cus3price,avgprice,minprice,maxprice,numbuyers,numstyles,numartno,numbatches,cus6,cus6ps,cus1share,pschange,stylesch,artnoch
A-1,1,1119218.3,126,8882.684921,,Curfu,14562.0,Bull,5832.0,Rhino,4344.0,TAMPA,84.0,,,24822.0,16.67745122056858,15.208230261940034,19.6299991607666,16.85148013545777,15.208230261940034,19.6299991607666,4.0,13.0,9.0,20.0,,,58.66569978245105,,,
A-1,2,1059743.7,114,9295.997368,0.09523809523809523,Rhino,15436.0,Curfu,4114.0,Bull,1368.0,,,,,20918.0,18.87884170807035,13.684322190273138,15.204385774177418,17.616918531199556,13.684322190273138,18.87884170807035,3.0,16.0,9.0,33.0,,,73.79290563151353,-15.727983240673593,23.076923076923084,0.0
A-1,3,1042766.2,117,8912.531624,0.0,Curfu,18015.0,Rhino,12421.0,Sparky,1014.0,,,,,31450.0,16.420757356908894,19.023271376706006,16.43400001525879,17.44903254595394,16.420757356908894,19.023271376706006,3.0,14.0,8.0,29.0,,,57.28139904610493,50.34898173821589,-12.5,-11.111111111111116
A-1,4,1003444.4,116,8650.382759,0.008547008547008517,Rhino,29389.0,Curfu,2766.0,Bull,108.0,,,,,32263.0,20.251667759710458,17.57272185575936,21.450000762939453,20.026005409464666,17.57272185575936,21.450000762939453,3.0,17.0,9.0,64.0,,,91.09196292967175,2.585055643879164,21.42857142857142,12.5
A-1,5,1042253.3,117,8908.147863,0.0,Rhino,30698.0,,,,,,,,,30698.0,21.46091297499341,,,21.46091297499341,21.46091297499341,21.46091297499341,1.0,10.0,5.0,28.0,,,100.0,-4.8507578340513895,-41.17647058823529,-44.44444444444444
A-1,6,1056822.5,120,8806.854167,0.0,Rhino,11766.0,Curfu,10668.0,Sparky,600.0,,,,,23034.0,21.579224622960847,26.29255709739316,13.42032527923584,23.549637544338328,13.42032527923584,26.29255709739316,3.0,11.0,8.0,14.0,,,51.08101067986455,-24.965795817317094,10.000000000000009,60.00000000000001
A-1,7,1157920.0,125,9263.36,0.0,Rhino,24453.0,Curfu,13087.0,Bull,6453.0,Crown,4073.0,,,48066.0,21.91804954613985,26.963125682290684,17.026128145552192,22.266087198358637,17.026128145552192,26.963125682290684,4.0,25.0,13.0,54.0,,,50.873798527025336,108.67413388903361,127.2727272727273,62.5
A-1,8,1158070.4,123,9415.206504,0.016000000000000014,Crown,20157.0,Rhino,19656.0,Bull,6828.0,,,,,46641.0,17.52475861792894,21.693147045060975,21.453866432337435,19.856650967588862,17.52475861792894,21.693147045060975,3.0,18.0,11.0,31.0,,,43.21734096610278,-2.964673573835974,-28.000000000000004,-15.384615384615385
A-1,9,1130169.7,123,9188.371545,0.0,Crown,16462.0,Rhino,2000.0,Curfu,1020.0,,,,,19482.0,17.725045691833014,19.969999313354492,20.899999618530273,18.121738035959602,17.725045691833014,20.899999618530273,3.0,23.0,8.0,35.0,,,84.4985114464634,-58.2298835788255,27.777777777777768,-27.27272727272727
A-2,1,945268.5,107,8834.285047,,Rhino,7506.0,Curfu,6212.0,,,,,,,13718.0,20.920000076293945,13.973889211493773,,17.774553167696578,13.973889211493773,20.920000076293945,2.0,5.0,2.0,7.0,,,54.7164309666132,,,
